UF,Sexo,Idade,Cor,Anos.de.Estudo,Renda,Altura
Mato Grosso do Sul,Feminino,31,Parda,12 anos,1300,1.68
Mato Grosso do Sul,Masculino,50,Branca,11 anos,9000,1.77
Mato Grosso do Sul,Masculino,28,Parda,11 anos,1350,1.63
Mato Grosso do Sul,Masculino,52,Branca,6 anos,3000,1.64
Mato Grosso do Sul,Masculino,46,Parda,9 anos,800,1.72
Mato Grosso do Sul,Feminino,34,Branca,7 anos,915,1.71
Mato Grosso do Sul,Masculino,68,Preta,Sem instrução e menos de um ano,2500,1.59
Mato Grosso do Sul,Masculino,54,Branca,1 ano,1200,1.63
Mato Grosso do Sul,Masculino,53,Parda,Sem instrução e menos de um ano,1000,1.7
Mato Grosso do Sul,Feminino,34,Parda,11 anos,1300,1.64
Mato Grosso do Sul,Masculino,35,Parda,11 anos,2500,1.72
Mato Grosso do Sul,Masculino,69,Branca,15 anos ou mais,10000,1.75
Mato Grosso do Sul,Masculino,52,Parda,11 anos,1200,1.54
Mato Grosso do Sul,Masculino,29,Branca,15 anos ou mais,2000,1.8
Mato Grosso do Sul,Masculino,48,Parda,15 anos ou mais,7000,1.7
Mato Grosso do Sul,Masculino,37,Branca,10 anos,3000,1.74
Mato Grosso do Sul,Masculino,43,Parda,5 anos,3000,1.7
Mato Grosso do Sul,Feminino,65,Branca,4 anos,1200,1.71
Mato Grosso do Sul,Masculino,24,Branca,11 anos,2500,1.76
Mato Grosso do Sul,Masculino,42,Parda,11 anos,2500,1.68
Mato Grosso do Sul,Masculino,32,Parda,11 anos,3000,1.76
Mato Grosso do Sul,Masculino,32,Branca,8 anos,4000,1.74
Mato Grosso do Sul,Feminino,38,Parda,9 anos,350,1.64
Mato Grosso do Sul,Masculino,25,Parda,11 anos,1200,1.56
Mato Grosso do Sul,Masculino,41,Branca,4 anos,1700,1.75
Mato Grosso do Sul,Feminino,38,Parda,8 anos,788,1.7
Mato Grosso do Sul,Masculino,32,Parda,14 anos,1300,1.77
Mato Grosso do Sul,Feminino,41,Parda,5 anos,900,1.75
Mato Grosso do Sul,Masculino,38,Parda,9 anos,650,1.75
Mato Grosso do Sul,Masculino,43,Branca,4 anos,1500,1.73
Mato Grosso do Sul,Masculino,36,Branca,11 anos,1800,1.66
Mato Grosso do Sul,Masculino,50,Parda,15 anos ou mais,4000,1.63
Mato Grosso do Sul,Masculino,37,Parda,8 anos,1900,1.59
Mato Grosso do Sul,Masculino,54,Branca,15 anos ou mais,3000,1.75
Mato Grosso do Sul,Masculino,40,Branca,11 anos,1000,1.69
Mato Grosso do Sul,Masculino,79,Preta,2 anos,0,1.42
